Name,Type,Description,Product,Activity
DEC_THHP_GAS_HEX,Construction,Decentralized Thermal Gas Heat Pump (heat exchanger),"borehole heat exchanger, 150m","borehole heat exchanger production, 150m"
DEC_THHP_GAS_HP,Construction,Decentralized Thermal Gas Heat Pump (heat pump),"heat pump, diffusion absorption, 4kW, future","heat pump production, diffusion absorption, 4kW, future"
DEC_TH_STORAGE,Construction,Decentralized Thermal Storage,"thermal storage system, solar tower power plant, 20 MW","thermal storage system construction, solar tower power plant, 20 MW"
DEEP_SALINE,Operation,Deep Saline Carbon Sequestration,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
DHN_BOILER_GAS,Construction,District Heating Network Boiler with Gas Combustion,"industrial furnace, natural gas","market for industrial furnace, natural gas"
DHN_BOILER_GAS,Operation,District Heating Network Boiler with Gas Combustion,"heat, district or industrial, natural gas","heat production, natural gas, at boiler modulating >100kW"
DHN_BOILER_OIL,Operation,District Heating Network Boiler with Oil Combustion,"heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW"
DHN_BOILER_OIL_BOILER,Construction,District Heating Network Boiler with Oil Combustion (boiler),"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
DHN_BOILER_OIL_TANK,Construction,District Heating Network Boiler with Oil Combustion (storage tank),"oil storage, 3000l","oil storage production, 3000l"
DHN_BOILER_WOOD,Operation,District Heating Network Boiler with Wood Combustion,"heat, district or industrial, other than natural gas","heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014"
DHN_BOILER_WOOD_BOILER,Construction,District Heating Network Boiler with Wood Combustion (boiler),"furnace, wood chips, with silo, 1000kW","furnace production, wood chips, with silo, 1000kW"
DHN_BOILER_WOOD_DUST,Construction,District Heating Network Boiler with Wood Combustion (dust collector),"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
DHN_COGEN_GAS,Operation,District Heating Network Cogeneration with Gas Combustion,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
DHN_COGEN_GAS_CHP,Construction,"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)","heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
DHN_COGEN_GAS_ELEC,Construction,"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for electricity)","heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
DHN_COGEN_GAS_HEAT,Construction,"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat)","heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
DHN_COGEN_WASTE,Operation,District Heating Network Cogeneration with Waste Combustion,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
DHN_COGEN_WASTE_BOILER,Construction,District Heating Network Cogeneration with Waste Combustion (boiler),municipal waste incineration facility,municipal waste incineration facility construction
DHN_COGEN_WASTE_CC,Operation,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
DHN_COGEN_WASTE_CC_BOILER,Construction,District Heating Network Cogeneration with Waste Combustion with Carbon Capture (boiler),municipal waste incineration facility,municipal waste incineration facility construction
DHN_COGEN_WASTE_CC_TURBINE,Construction,District Heating Network Cogeneration with Waste Combustion with Carbon Capture (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
DHN_COGEN_WASTE_TURBINE,Construction,District Heating Network Cogeneration with Waste Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
DHN_COGEN_WOOD,Operation,District Heating Network Cogeneration with Wood Combustion,"heat, district or industrial, other than natural gas","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014"
DHN_COGEN_WOOD_BOILER,Construction,District Heating Network Cogeneration with Wood Combustion (boiler),"furnace, wood chips, with silo, 5000kW","furnace production, wood chips, with silo, 5000kW"
DHN_COGEN_WOOD_DUST,Construction,District Heating Network Cogeneration with Wood Combustion (dust collector),"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
DHN_COGEN_WOOD_TURBINE,Construction,District Heating Network Cogeneration with Wood Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 1000kW electrical","market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical"
DHN_DEEP_GEO,Operation,District Heating Network with Deep Geothermal Heat,"heat, deep geothermal","heat production, deep geothermal"
DHN_DEEP_GEO,Construction,District Heating Network with Deep Geothermal Heat,geothermal heat plant,geothermal heat plant construction
DHN_HP_ELEC,Operation,District Heating Network with Heat Pump Electricity,"heat, central or small-scale, other than natural gas","heat production, at heat pump 30kW, allocation exergy"
DHN_HP_ELEC,Construction,District Heating Network with Heat Pump Electricity,"heat pump, 30kW","heat pump production, 30kW"
DHN_TH_STORAGE,Construction,District Heating Network Thermal Storage,"thermal storage system, solar tower power plant, 20 MW","thermal storage system construction, solar tower power plant, 20 MW"
DIE_STO,Construction,Diesel to Storage,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
DIRECT_USAGE,Operation,Direct Usage of stored CO2 ,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
DOGR,Operation,Deep Oil Reservoir Gas Recovery,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
EHV_GRID,Construction,Electric Grid at Extra High Voltage,"transmission network, electricity, high voltage","transmission network construction, electricity, high voltage"
ELEC_STO,Construction,Electricity Storage,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic"
EOR,Operation,Enhanced Oil Recovery,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
ETHANE_CRACKING,Operation,Ethane Cracking Process,ethane,natural gas liquids fractionation
ETHANE_CRACKING,Construction,Ethane Cracking Process,"chemical factory, organics","chemical factory construction, organics"
ETHANE_OXIDATION,Operation,Ethane Oxidation Process,"acetic acid, without water, in 98% solution state","acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state"
ETHANE_OXIDATION,Construction,Ethane Oxidation Process,"chemical factory, organics","chemical factory construction, organics"
ETHANE_TO_ETHYLENE,Operation,Conversion of Ethane to Ethylene,ethylene,"unsaturated hydrocarbons production, steam cracking operation, average"
ETHANE_TO_ETHYLENE,Construction,Conversion of Ethane to Ethylene,"chemical factory, organics","chemical factory construction, organics"
ETHANOL_TO_JETFUELS,Construction,Conversion of Ethanol to Jet Fuels,"chemical factory, organics","chemical factory construction, organics"
ETHANOL_TO_JETFUELS,Operation,Conversion of Ethanol to Jet Fuels,"kerosene, synthetic","kerosene production, from methanol, hydrogen from coal gasification, energy allocation"
ETHYLENE_POLYMERIZATION,Construction,Ethylene Polymerization,"chemical factory, organics","chemical factory construction, organics"
ETHYLENE_POLYMERIZATION,Operation,Ethylene Polymerization,ethylene,"unsaturated hydrocarbons production, steam cracking operation, average"
FOOD_PROD,Operation,Food Production,"sugar, from sugar beet",beet sugar production
FOOD_PROD,Construction,Food Production,sugar refinery,sugar refinery construction
FOOD_PROD_HP,Construction,Food Production (heat pump),sugar refinery,sugar refinery construction
FOOD_PROD_HP,Operation,Food Production (heat pump),"sugar, from sugar beet",beet sugar production
FOOD_PROD_HR,Operation,Food Production with Heat Recovery,"sugar, from sugar beet",beet sugar production
FOOD_PROD_HR,Construction,Food Production with Heat Recovery,sugar refinery,sugar refinery construction
FT,Operation,Fischer-Tropsch Synthesis,"diesel, synthetic, vehicle grade","diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, energy allocation, at fuelling station"
FT,Construction,Fischer-Tropsch Synthesis,"chemical factory, organics","chemical factory construction, organics"
GASIFICATION_H2,Operation,Hydrogen Production via Gasification,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass, at gasification plant"
GASIFICATION_H2_PLANT,Construction,Hydrogen Production via Gasification (plant),synthetic gas factory,synthetic gas factory construction
GASIFICATION_H2_TANK,Construction,Hydrogen Production via Gasification (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
GASIFICATION_SNG,Operation,Synthetic Natural Gas Production via Gasification,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
GASIFICATION_SNG_PLANT,Construction,Synthetic Natural Gas Production via Gasification (plant),synthetic gas factory,synthetic gas factory construction
GASIFICATION_SNG_TANK,Construction,Synthetic Natural Gas Production via Gasification (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
GASO_STO,Construction,Gasoline to Storage,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
GEOTHERMAL,Construction,Geothermal Energy Utilization,"geothermal power plant, 5.5MWel",geothermal power plant construction
GEOTHERMAL,Operation,Geothermal Energy Utilization,"electricity, high voltage","electricity production, deep geothermal"
H2_CCGT,Operation,Combine Cycle Gas Turbine Hydrogen,"electricity, high voltage","electricity production, from hydrogen-fired one gigawatt gas turbine"
H2_CCGT,Construction,Combine Cycle Gas Turbine Hydrogen,"gas power plant, combined cycle, 400MW electrical","gas power plant construction, combined cycle, 400MW electrical"
H2_COMP_HE,Operation,Hydrogen Compression from High Pressure to Extra High Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_COMP_HE,Construction,Hydrogen Compression from High Pressure to Extra High Pressure,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
H2_COMP_LM,Construction,Hydrogen Compression from Low Pressure to Medium Pressure,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
H2_COMP_LM,Operation,Hydrogen Compression from Low Pressure to Medium Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_COMP_MH,Operation,Hydrogen Compression from Medium Pressure to High Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_COMP_MH,Construction,Hydrogen Compression from Medium Pressure to High Pressure,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
H2_EXP_EH,Operation,Hydrogen Expansion from Extra High Pressure to High Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_EH_COGEN,Construction,Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
H2_EXP_EH_COGEN,Operation,Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_HM,Operation,Hydrogen Expansion from High Pressure to Medium Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_HM_COGEN,Construction,Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
H2_EXP_HM_COGEN,Operation,Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_ML,Operation,Hydrogen Expansion from Medium Pressure to Low Pressure,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_ML_COGEN,Operation,Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
H2_EXP_ML_COGEN,Construction,Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
H2_NG_CCGT,Construction,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
H2_NG_CCGT,Operation,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
H2_NG_CCGT_CCS,Operation,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
H2_NG_CCGT_CCS,Construction,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
H2_STO,Construction,Hydrogen to Storage,high pressure hydrogen storage tank,high pressure hydrogen storage tank
HT_LT_DEC,Operation,High Temperature to Low Temperature Conversion in Decentralized Systems,"heat, district or industrial, other than natural gas","market for heat, district or industrial, other than natural gas"
HV_GRID,Construction,Electric Grid at High Voltage,"transmission network, electricity, high voltage","transmission network construction, electricity, high voltage"
HYDRO_DAM,Construction,Hydroelectric Dam,"hydropower plant, reservoir","hydropower plant construction, reservoir"
HYDRO_DAM,Operation,Hydroelectric Dam,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region"
HYDRO_GAS,Operation,Hydrothermal Gasification,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
HYDRO_GAS,Construction,Hydrothermal Gasification,synthetic gas factory,synthetic gas factory construction
HYDRO_GAS_CHP,Operation,"Hydrothermal Gasification (co-generation unit, components for heat and electricity)","syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
HYDRO_GAS_CHP_PLANT,Construction,Hydrothermal Gasification with Combined Heat and Power (plant),synthetic gas factory,synthetic gas factory construction
HYDRO_GAS_CHP_TURBINE,Construction,Hydrothermal Gasification with Combined Heat and Power (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
HYDRO_RIVER,Construction,Hydroelectric Power from River Flow,"hydropower plant, run-of-river","hydropower plant construction, run-of-river"
HYDRO_RIVER,Operation,Hydroelectric Power from River Flow,"electricity, high voltage","electricity production, hydro, run-of-river"
IND_BOILER_COAL,Operation,Industrial Boiler with Coal Combustion,"heat, district or industrial, other than natural gas","heat production, at hard coal industrial furnace 1-10MW"
IND_BOILER_COAL,Construction,Industrial Boiler with Coal Combustion,"industrial furnace, coal, 1-10MW","industrial furnace production, coal, 1-10MW"
IND_BOILER_GAS,Construction,Industrial Boiler with Gas Combustion,"industrial furnace, natural gas","industrial furnace production, natural gas"
IND_BOILER_GAS,Operation,Industrial Boiler with Gas Combustion,"heat, district or industrial, natural gas","heat production, natural gas, at industrial furnace >100kW"
IND_BOILER_OIL,Operation,Industrial Boiler with Oil Combustion,"heat, district or industrial, other than natural gas","heat production, heavy fuel oil, at industrial furnace 1MW"
IND_BOILER_OIL_PLANT,Construction,Industrial Boiler with Oil Combustion (plant),"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
IND_BOILER_OIL_TANK,Construction,Industrial Boiler with Oil Combustion (storage tank),"oil storage, 3000l","market for oil storage, 3000l"
IND_BOILER_WASTE,Operation,Industrial Boiler with Waste Combustion,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
IND_BOILER_WASTE,Construction,Industrial Boiler with Waste Combustion,municipal waste incineration facility,municipal waste incineration facility construction
IND_BOILER_WASTE_CC,Operation,Industrial Boiler with Carbon Capture using Waste Combustion,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
IND_BOILER_WASTE_CC,Construction,Industrial Boiler with Carbon Capture using Waste Combustion,municipal waste incineration facility,municipal waste incineration facility construction
IND_BOILER_WOOD,Construction,Industrial Boiler with Wood Combustion,"furnace, wood chips, with silo, 1000kW","furnace production, wood chips, with silo, 1000kW"
IND_BOILER_WOOD,Operation,Industrial Boiler with Wood Combustion,"heat, district or industrial, other than natural gas","heat production, wood chips from industry, at furnace 1000kW"
IND_COGEN_GAS,Operation,Industrial Cogeneration with Gas Combustion,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
IND_COGEN_GAS_CHP,Construction,"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)","heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
IND_COGEN_GAS_ELEC,Construction,"Industrial Cogeneration with Gas Combustion (co-generation unit, components for electricity)","heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
IND_COGEN_GAS_HEAT,Construction,"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat)","heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
IND_COGEN_WASTE,Operation,Industrial Cogeneration using Waste Combustion,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
IND_COGEN_WASTE_CC,Operation,Industrial Cogeneration with Carbon Capture using Waste Combustion,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
IND_COGEN_WASTE_CC_PLANT,Construction,Industrial Cogeneration with Carbon Capture using Waste Combustion (plant),municipal waste incineration facility,municipal waste incineration facility construction
IND_COGEN_WASTE_CC_TURBINE,Construction,Industrial Cogeneration with Carbon Capture using Waste Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
IND_COGEN_WASTE_PLANT,Construction,Industrial Cogeneration using Waste Combustion (plant),municipal waste incineration facility,municipal waste incineration facility construction
IND_COGEN_WASTE_TURBINE,Construction,Industrial Cogeneration using Waste Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
IND_COGEN_WOOD,Operation,Industrial Cogeneration with Wood Combustion,"heat, district or industrial, other than natural gas","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014"
IND_COGEN_WOOD_DUST,Construction,Industrial Cogeneration with Wood Combustion (dust collector),"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
IND_COGEN_WOOD_PLANT,Construction,Industrial Cogeneration with Wood Combustion (plant),"furnace, wood chips, with silo, 5000kW","furnace production, wood chips, with silo, 5000kW"
IND_COGEN_WOOD_TURBINE,Construction,Industrial Cogeneration with Wood Combustion (co-generation unit),"heat and power co-generation unit, organic Rankine cycle, 1000kW electrical","market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical"
IND_DIRECT_ELEC,Operation,Industrial Direct Electricity Usage,"electricity, high voltage","market for electricity, high voltage"
IND_DIRECT_ELEC,Construction,Industrial Direct Electricity Usage,"auxiliary heating unit, electric, 5kW","auxiliary heating unit production, electric, 5kW"
IND_HP_ELEC,Operation,Industrial Heat Pump Electricity Usage,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW"
IND_HP_ELEC,Construction,Industrial Heat Pump Electricity Usage,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW"
LCV_BIODIESEL_B100,Construction,100% BioDiesel-Powered Light Commercial Vehicle,truck,"truck, diesel, 3.5t, urban delivery"
LCV_BIODIESEL_B100,Operation,100% BioDiesel-Powered Light Commercial Vehicle,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
LCV_BIODIESEL_B20,Construction,20% BioDiesel-Powered Light Commercial Vehicle,truck,"truck, diesel, 3.5t, urban delivery"
LCV_BIODIESEL_B20,Operation,20% BioDiesel-Powered Light Commercial Vehicle,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
LCV_CNG,Construction,Compressed Natural Gas-Powered Light Commercial Vehicle,truck,"truck, compressed gas, 3.5t, urban delivery"
LCV_CNG,Operation,Compressed Natural Gas-Powered Light Commercial Vehicle,"transport, truck","transport, truck, compressed gas, 3.5t, urban delivery"
LCV_DIESEL,Construction,Diesel-Powered Light Commercial Vehicle,truck,"truck, diesel, 3.5t, urban delivery"
LCV_DIESEL,Operation,Diesel-Powered Light Commercial Vehicle,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
LCV_EV,Operation,Electric-Powered Light Commercial Vehicle,"transport, truck","transport, truck, battery electric, 3.5t, urban delivery"
LCV_EV,Construction,Electric-Powered Light Commercial Vehicle,truck,"truck, battery electric, 3.5t, urban delivery"
LCV_FC_H2,Operation,Hydrogen Fuel Cell-Powered Light Commercial Vehicle,"transport, truck","transport, truck, fuel cell electric, 3.5t, urban delivery"
LCV_FC_H2,Construction,Hydrogen Fuel Cell-Powered Light Commercial Vehicle,truck,"truck, fuel cell electric, 3.5t, urban delivery"
LCV_GASOLINE,Operation,Gasoline-Powered Light Commercial Vehicle,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
LCV_GASOLINE,Construction,Gasoline-Powered Light Commercial Vehicle,truck,"truck, diesel, 3.5t, urban delivery"
LCV_PHEV_DIESEL,Operation,Diesel-Powered Light Commercial Vehicle,"transport, truck","transport, truck, plugin diesel hybrid, 3.5t, urban delivery"
LCV_PHEV_DIESEL,Construction,Diesel-Powered Light Commercial Vehicle,truck,"truck, plugin diesel hybrid, 3.5t, urban delivery"
LCV_PROPANE,Construction,Propane-Powered Light Commercial Vehicle,truck,"truck, compressed gas, 3.5t, urban delivery"
LCV_PROPANE,Operation,Propane-Powered Light Commercial Vehicle,"transport, truck","transport, truck, compressed gas, 3.5t, urban delivery"
LV_GRID,Construction,Electric Grid at Low Voltage,"distribution network, electricity, low voltage","distribution network construction, electricity, low voltage"
METATHESIS_PROPYLENE,Operation,Propylene Production via Metathesis,propylene,"unsaturated hydrocarbons production, steam cracking operation, average"
METATHESIS_PROPYLENE,Construction,Propylene Production via Metathesis,"chemical factory, organics","chemical factory construction, organics"
METHANATION,Construction,Methanation Process,synthetic gas factory,synthetic gas factory construction
METHANATION,Operation,Methanation Process,"methane, from electrochemical methanation","methane, from electrochemical methanation, with carbon from municipal waste incineration plant"
METHANE_TO_METHANOL,Construction,Conversion of Methane to Methanol,methanol factory,methanol factory construction
METHANE_TO_METHANOL,Operation,Conversion of Methane to Methanol,methanol,"methanol production, natural gas reforming"
METHANOL_CARBONYLATION,Construction,Methanol Cabonylation Process,"chemical factory, organics","chemical factory construction, organics"
METHANOL_CARBONYLATION,Operation,Methanol Cabonylation Process,"acetic acid, without water, in 98% solution state","acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state"
METHANOL_FT,Construction,Methanol Synthesis via Fischer-Tropsch Process,methanol factory,methanol factory construction
METHANOL_FT,Operation,Methanol Synthesis via Fischer-Tropsch Process,"methanol, from biomass","methanol production, biomass gasification"
METHANOL_TO_AROMATICS,Operation,Conversion of Methanol to Aromatic Compounds,"xylene, mixed","BTX production, from pyrolysis gas, average"
METHANOL_TO_AROMATICS,Construction,Conversion of Methanol to Aromatic Compounds,"chemical factory, organics","chemical factory construction, organics"
METHANOL_TO_OLEFINS,Operation,Conversion of Methanol to Olefinic Compounds,n-olefins,n-olefins production
METHANOL_TO_OLEFINS,Construction,Conversion of Methanol to Olefinic Compounds,"chemical factory, organics","chemical factory construction, organics"
MINES_STORAGE,Operation,Sequestration of CO2 in Mines,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
MV_GRID,Construction,Electric Grid at Medium Voltage,"distribution network, electricity, low voltage","distribution network construction, electricity, low voltage"
NEW_HYDRO_DAM,Construction,New Hydroelectric Dam,"hydropower plant, reservoir","hydropower plant construction, reservoir"
NEW_HYDRO_DAM,Operation,New Hydroelectric Dam,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region"
NEW_HYDRO_RIVER,Construction,New Hydroelectric Power from River Flow,"hydropower plant, run-of-river","hydropower plant construction, run-of-river"
NEW_HYDRO_RIVER,Operation,New Hydroelectric Power from River Flow,"electricity, high voltage","electricity production, hydro, run-of-river"
NG_COMP_HE,Construction,Natural Gas Compression from High Pressure to Extra High Pressure,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
NG_COMP_HE,Operation,Natural Gas Compression from High Pressure to Extra High Pressure,"natural gas, high pressure","market for natural gas, high pressure"
NG_COMP_LM,Operation,Natural Gas Compression from Low Pressure to Medium Pressure,"natural gas, low pressure","market for natural gas, low pressure"
NG_COMP_LM,Construction,Natural Gas Compression from Low Pressure to Medium Pressure,"air compressor, screw-type compressor, 4kW","air compressor production, screw-type compressor, 4kW"
NG_COMP_MH,Operation,Natural Gas Compression from Medium Pressure to High Pressure,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
NG_COMP_MH,Construction,Natural Gas Compression from Medium Pressure to High Pressure,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
NG_EXP_EH,Operation,Natural Gas Expansion from Extra High Pressure to High Pressure,"natural gas, high pressure","market for natural gas, high pressure"
NG_EXP_EH_COGEN,Construction,Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
NG_EXP_EH_COGEN,Operation,Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),"natural gas, high pressure","market for natural gas, high pressure"
NG_EXP_HM,Operation,Natural Gas Expansion from High Pressure to Medium Pressure,"natural gas, high pressure","market for natural gas, high pressure"
NG_EXP_HM_COGEN,Construction,Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
NG_EXP_HM_COGEN,Operation,Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),"natural gas, high pressure","market for natural gas, high pressure"
NG_EXP_ML,Operation,Natural Gas Expansion from Medium Pressure to Low Pressure,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
NG_EXP_ML_COGEN,Construction,Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
NG_EXP_ML_COGEN,Operation,Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
NG_PYROLYSIS_PLASMA,Operation,Plasma Natural Gas Pyrolysis,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
NG_PYROLYSIS_PLASMA,Construction,Plasma Natural Gas Pyrolysis,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
NG_PYROLYSIS_THERMAL,Construction,Thermal Natural Gas Pyrolysis,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
NG_PYROLYSIS_THERMAL,Operation,Thermal Natural Gas Pyrolysis,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
NG_REFORMING,Operation,Natural Gas Reforming,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming"
NG_REFORMING_PLANT,Construction,Natural Gas Reforming (plant),"chemical factory, organics","chemical factory construction, organics"
NG_REFORMING_TANK,Construction,Natural Gas Reforming (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
NG_STO,Construction,Natural Gas to Storage,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
